clade_name	clade_taxid	ERR1190976.metaphlan4.abundance.profile	ERR1190975.metaphlan4.abundance.profile	ERR1190974.metaphlan4.abundance.profile	ERR1190973.metaphlan4.abundance.profile	ERR1190972.metaphlan4.abundance.profile	ERR1190971.metaphlan4.abundance.profile	ERR1190970.metaphlan4.abundance.profile	ERR1190969.metaphlan4.abundance.profile	ERR1190968.metaphlan4.abundance.profile	ERR1190967.metaphlan4.abundance.profile	ERR1190966.metaphlan4.abundance.profile	ERR1190965.metaphlan4.abundance.profile	ERR1190964.metaphlan4.abundance.profile	ERR1190963.metaphlan4.abundance.profile	ERR1190962.metaphlan4.abundance.profile	ERR1190961.metaphlan4.abundance.profile	ERR1190960.metaphlan4.abundance.profile	ERR1190959.metaphlan4.abundance.profile	ERR1190958.metaphlan4.abundance.profile	ERR1190957.metaphlan4.abundance.profile	ERR1190956.metaphlan4.abundance.profile	ERR1190955.metaphlan4.abundance.profile	ERR1190954.metaphlan4.abundance.profile	ERR1190953.metaphlan4.abundance.profile	ERR1190952.metaphlan4.abundance.profile	ERR1190951.metaphlan4.abundance.profile	ERR1190950.metaphlan4.abundance.profile	ERR1190949.metaphlan4.abundance.profile	ERR1190948.metaphlan4.abundance.profile	ERR1190947.metaphlan4.abundance.profile	ERR1190946.metaphlan4.abundance.profile	ERR1190945.metaphlan4.abundance.profile	ERR1190944.metaphlan4.abundance.profile	ERR1190943.metaphlan4.abundance.profile	ERR1190942.metaphlan4.abundance.profile	ERR1190941.metaphlan4.abundance.profile	ERR1190940.metaphlan4.abundance.profile	ERR1190939.metaphlan4.abundance.profile	ERR1190938.metaphlan4.abundance.profile	ERR1190937.metaphlan4.abundance.profile	ERR1190936.metaphlan4.abundance.profile	ERR1190935.metaphlan4.abundance.profile	ERR1190934.metaphlan4.abundance.profile	ERR1190933.metaphlan4.abundance.profile	ERR1190932.metaphlan4.abundance.profile	ERR1190931.metaphlan4.abundance.profile	ERR1190930.metaphlan4.abundance.profile	ERR1190929.metaphlan4.abundance.profile	ERR1190928.metaphlan4.abundance.profile	ERR1190927.metaphlan4.abundance.profile	ERR1190926.metaphlan4.abundance.profile	ERR1190925.metaphlan4.abundance.profile	ERR1190924.metaphlan4.abundance.profile	ERR1190923.metaphlan4.abundance.profile	ERR1190922.metaphlan4.abundance.profile	ERR1190921.metaphlan4.abundance.profile	ERR1190920.metaphlan4.abundance.profile	ERR1190919.metaphlan4.abundance.profile	ERR1190918.metaphlan4.abundance.profile	ERR1190917.metaphlan4.abundance.profile	ERR1190916.metaphlan4.abundance.profile	ERR1190915.metaphlan4.abundance.profile	ERR1190914.metaphlan4.abundance.profile	ERR1190913.metaphlan4.abundance.profile	ERR1190912.metaphlan4.abundance.profile	ERR1190911.metaphlan4.abundance.profile	ERR1190910.metaphlan4.abundance.profile	ERR1190909.metaphlan4.abundance.profile	ERR1190908.metaphlan4.abundance.profile	ERR1190907.metaphlan4.abundance.profile	ERR1190906.metaphlan4.abundance.profile	ERR1190905.metaphlan4.abundance.profile	ERR1190904.metaphlan4.abundance.profile	ERR1190903.metaphlan4.abundance.profile	ERR1190902.metaphlan4.abundance.profile	ERR1190901.metaphlan4.abundance.profile	ERR1190900.metaphlan4.abundance.profile	ERR1190899.metaphlan4.abundance.profile	ERR1190898.metaphlan4.abundance.profile	ERR1190897.metaphlan4.abundance.profile	ERR1190896.metaphlan4.abundance.profile	ERR1190895.metaphlan4.abundance.profile	ERR1190894.metaphlan4.abundance.profile	ERR1190893.metaphlan4.abundance.profile	ERR1190892.metaphlan4.abundance.profile	ERR1190891.metaphlan4.abundance.profile	ERR1190890.metaphlan4.abundance.profile	ERR1190889.metaphlan4.abundance.profile	ERR1190888.metaphlan4.abundance.profile	ERR1190887.metaphlan4.abundance.profile	ERR1190886.metaphlan4.abundance.profile	ERR1190885.metaphlan4.abundance.profile	ERR1190884.metaphlan4.abundance.profile	ERR1190883.metaphlan4.abundance.profile	ERR1190882.metaphlan4.abundance.profile	ERR1190881.metaphlan4.abundance.profile	ERR1190880.metaphlan4.abundance.profile	ERR1190879.metaphlan4.abundance.profile	ERR1190878.metaphlan4.abundance.profile	ERR1190877.metaphlan4.abundance.profile	ERR1190876.metaphlan4.abundance.profile	ERR1190875.metaphlan4.abundance.profile	ERR1190874.metaphlan4.abundance.profile	ERR1190873.metaphlan4.abundance.profile	ERR1190872.metaphlan4.abundance.profile	ERR1190871.metaphlan4.abundance.profile	ERR1190870.metaphlan4.abundance.profile	ERR1190869.metaphlan4.abundance.profile	ERR1190868.metaphlan4.abundance.profile	ERR1190867.metaphlan4.abundance.profile	ERR1190866.metaphlan4.abundance.profile	ERR1190865.metaphlan4.abundance.profile	ERR1190864.metaphlan4.abundance.profile	ERR1190863.metaphlan4.abundance.profile	ERR1190862.metaphlan4.abundance.profile	ERR1190861.metaphlan4.abundance.profile	ERR1190860.metaphlan4.abundance.profile	ERR1190859.metaphlan4.abundance.profile	ERR1190858.metaphlan4.abundance.profile	ERR1190857.metaphlan4.abundance.profile	ERR1190856.metaphlan4.abundance.profile	ERR1190855.metaphlan4.abundance.profile	ERR1190854.metaphlan4.abundance.profile	ERR1190853.metaphlan4.abundance.profile	ERR1190852.metaphlan4.abundance.profile	ERR1190851.metaphlan4.abundance.profile	ERR1190850.metaphlan4.abundance.profile	ERR1190849.metaphlan4.abundance.profile	ERR1190848.metaphlan4.abundance.profile	ERR1190847.metaphlan4.abundance.profile	ERR1190846.metaphlan4.abundance.profile	ERR1190845.metaphlan4.abundance.profile	ERR1190844.metaphlan4.abundance.profile	ERR1190843.metaphlan4.abundance.profile	ERR1190842.metaphlan4.abundance.profile	ERR1190841.metaphlan4.abundance.profile	ERR1190840.metaphlan4.abundance.profile	ERR1190839.metaphlan4.abundance.profile	ERR1190838.metaphlan4.abundance.profile	ERR1190837.metaphlan4.abundance.profile	ERR1190836.metaphlan4.abundance.profile	ERR1190835.metaphlan4.abundance.profile	ERR1190834.metaphlan4.abundance.profile	ERR1190833.metaphlan4.abundance.profile	ERR1190832.metaphlan4.abundance.profile	ERR1190831.metaphlan4.abundance.profile	ERR1190830.metaphlan4.abundance.profile	ERR1190829.metaphlan4.abundance.profile	ERR1190828.metaphlan4.abundance.profile	ERR1190827.metaphlan4.abundance.profile	ERR1190826.metaphlan4.abundance.profile	ERR1190825.metaphlan4.abundance.profile	ERR1190824.metaphlan4.abundance.profile	ERR1190823.metaphlan4.abundance.profile	ERR1190822.metaphlan4.abundance.profile	ERR1190821.metaphlan4.abundance.profile	ERR1190820.metaphlan4.abundance.profile	ERR1190819.metaphlan4.abundance.profile	ERR1190818.metaphlan4.abundance.profile	ERR1190817.metaphlan4.abundance.profile	ERR1190816.metaphlan4.abundance.profile	ERR1190815.metaphlan4.abundance.profile	ERR1190814.metaphlan4.abundance.profile	ERR1190813.metaphlan4.abundance.profile	ERR1190812.metaphlan4.abundance.profile	ERR1190811.metaphlan4.abundance.profile	ERR1190810.metaphlan4.abundance.profile	ERR1190809.metaphlan4.abundance.profile	ERR1190808.metaphlan4.abundance.profile	ERR1190807.metaphlan4.abundance.profile	ERR1190806.metaphlan4.abundance.profile	ERR1190805.metaphlan4.abundance.profile	ERR1190804.metaphlan4.abundance.profile	ERR1190803.metaphlan4.abundance.profile	ERR1190802.metaphlan4.abundance.profile	ERR1190801.metaphlan4.abundance.profile	ERR1190800.metaphlan4.abundance.profile	ERR1190799.metaphlan4.abundance.profile	ERR1190798.metaphlan4.abundance.profile	ERR1190797.metaphlan4.abundance.profile	ERR1190796.metaphlan4.abundance.profile	ERR1190795.metaphlan4.abundance.profile	ERR1190794.metaphlan4.abundance.profile	ERR1190793.metaphlan4.abundance.profile	ERR1190792.metaphlan4.abundance.profile	ERR1190791.metaphlan4.abundance.profile	ERR1190790.metaphlan4.abundance.profile	ERR1190789.metaphlan4.abundance.profile
UNCLASSIFIED	-1	20.10171	20.11098	19.448	20.50062	20.25502	17.23156	16.44094	14.90154	26.34891	29.21542	14.99691	13.62865	15.58156	29.18973	18.90492	21.02529	18.33662	24.89499	13.34294	22.45612	18.88085	17.52891	16.54171	20.06526	26.24124	24.91068	45.87255	29.49575	29.92014	17.49374	17.69617	14.9829	20.11788	16.53933	12.43471	13.7828	17.14414	18.16318	27.37086	26.86612	24.92126	24.95829	20.1617	19.40771	15.79259	16.73531	24.97006	18.01568	16.96586	17.10619	26.75476	18.96346	12.50791	20.43883	27.69586	22.55716	26.49305	22.28667	21.01008	10.83424	14.61795	13.73131	25.02688	17.84065	18.87787	14.74764	16.18912	15.41259	20.45074	18.3579	20.20752	13.2322	13.06194	8.90194	16.66386	16.48243	20.83972	21.10337	24.49257	17.70968	15.40908	20.06621	25.48143	14.54829	18.71164	17.16031	24.55575	15.72753	19.56295	22.9483	19.90078	12.9843	20.76226	18.98293	14.20212	13.73341	26.1513	20.32682	23.53347	17.57973	18.51401	15.44151	20.6516	17.44633	21.93358	20.82053	26.57498	25.05539	18.39387	17.60923	21.14622	19.19507	19.82265	19.48637	22.3618	19.28739	23.55212	14.28829	12.58296	13.94591	13.42962	28.90069	18.95435	15.72981	29.47185	15.18852	13.50983	21.00746	16.8462	19.83242	20.44185	17.87063	23.44694	21.93974	20.66157	16.32355	21.1954	17.88094	12.32437	23.35978	14.81502	19.93254	26.40091	20.2077	21.82177	24.29797	13.00574	10.09841	36.55928	20.66729	22.60297	23.93392	16.34684	23.34308	17.59901	19.97882	17.14803	17.74986	11.12393	10.70581	20.14876	20.36062	22.25804	17.9559	17.93988	20.11656	26.53821	22.52952	25.12656	20.05266	19.74818	16.06206	20.92166	17.563	20.92406	19.65729	19.30799	20.04867	23.62696	21.02248	23.41353	11.9818	21.98149	25.13072	16.9733	13.65407	16.54355	20.73773
k__Archaea	2157	0	0	0.01587	0.02047	0	0	0	0	0	0	0	0	0	0	0.00879	0.00793	0	0	0	0	0.23171	0	0.04266	0.00674	0.02887	0.02575	0	0	0	0	0.00079	0.00727	0	0	0	0	0.01803	0.04362	0	0	0	0.01075	0.01748	0	0	0	0	0	0.01458	0.90759	0.00496	0.02996	0	0	0	0.01488	0	0	0	0	0	0	0	0	0	0	0.00989	0.05813	0	0	0	0	0	0	0	0	0.03711	0.04612	0	0	0	0	0	0	0	0	0	0.02963	0	0	0	0.04751	0	0	0	0	0	0	0	0	0.00632	0.03887	0.03514	0.02261	0.01589	0.16096	0	0	0.03623	0.02092	0	0.02255	0.02998	0.00334	0	0	0	0	0	0	0	0	0	0	0	0	0.01332	0	0	0.01764	0.01038	0.00497	0	0	0	0	0	0	0	0	0	0.0232	0.03625	0.01615	0	0	0	0	0	0	0	0	0	0	0.00075	0.0252	0	0	0	0	0	0	0.00188	0.53168	0	0.00777	0.01131	0.06781	0	0	0	0	0.00456	0.00473	0	0	0.00904	0.00497	0	0	0	0	0	0	0.00611	0	0	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0.23171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01589	0.15534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.48888	0	0.00777	0.01131	0.06781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0.23171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01589	0.15534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.48888	0	0.00777	0.01131	0.06781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0.23171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01589	0.15534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.48888	0	0.00777	0.01131	0.06781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0.23171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01589	0.15534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.48888	0	0.00777	0.01131	0.06781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0.23171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01589	0.15534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.4753	0	0	0.01131	0.06781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0.23171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01589	0.15534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.4753	0	0	0.01131	0.06781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__SGB714	2157|28890|183925|2158|2159|2172|2173|	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0.23171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.84105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01589	0.15534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00188	0.4753	0	0	0.01131	0.06781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01358	0	0.00777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
