clade_name	clade_taxid	ERR1995252	ERR1995225	ERR1995258	ERR1995217	ERR1995260	ERR1995241	ERR1995236	ERR1995231	ERR1995246	ERR1995267	ERR1995222	ERR1995255	ERR1995228	ERR1995226	ERR1995251	ERR1995263	ERR1995214	ERR1995235	ERR1995242	ERR1995248	ERR1995245	ERR1995232	ERR1995238	ERR1995219	ERR1995213	ERR1995264	ERR1995256	ERR1995221	ERR1995211	ERR1995266	ERR1995229	ERR1995254	ERR1995223	ERR1995247	ERR1995230	ERR1995237	ERR1995240	ERR1995259	ERR1995224	ERR1995253	ERR1995261	ERR1995216	ERR1995265	ERR1995212	ERR1995218	ERR1995220	ERR1995257	ERR1995239	ERR1995233	ERR1995244	ERR1995249	ERR1995243	ERR1995234	ERR1995250	ERR1995227	ERR1995215	ERR1995262
k__Archaea	2157	0	0	0	0.49837	0	0	0	0	0	0	0	0.05408	0	0	0.01575	0	0	0	0	0	0.00072	0	0	0	0	0	0.02276	0	0.00303	0	0	0.0514	0	0.09684	0	0	0	0.00328	0	0	0	0.62356	0	0	4.18863	0.00124	0.0633	0	0	0.5471	0.01577	0	0	0	0	2.62717	0
k__Archaea|p__Euryarchaeota	2157|28890	0	0	0	0.49837	0	0	0	0	0	0	0	0.05408	0	0	0.01575	0	0	0	0	0	0.00072	0	0	0	0	0	0.02276	0	0.00303	0	0	0.0514	0	0.09684	0	0	0	0.00328	0	0	0	0.62356	0	0	4.18863	0.00124	0.0633	0	0	0.5471	0.01577	0	0	0	0	2.62717	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0	0	0	0.49837	0	0	0	0	0	0	0	0.05408	0	0	0.01575	0	0	0	0	0	0.00072	0	0	0	0	0	0.02276	0	0.00303	0	0	0.0514	0	0.09684	0	0	0	0.00328	0	0	0	0.62356	0	0	4.18863	0.00124	0.0633	0	0	0.5471	0.01577	0	0	0	0	2.62717	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0	0	0	0.49837	0	0	0	0	0	0	0	0.05408	0	0	0.01575	0	0	0	0	0	0.00072	0	0	0	0	0	0.02276	0	0.00303	0	0	0.0514	0	0.09684	0	0	0	0.00328	0	0	0	0.62356	0	0	4.18863	0.00124	0.0633	0	0	0.5471	0.01577	0	0	0	0	2.62717	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0	0	0	0.49837	0	0	0	0	0	0	0	0.05408	0	0	0.01575	0	0	0	0	0	0.00072	0	0	0	0	0	0.02276	0	0.00303	0	0	0.0514	0	0.09684	0	0	0	0.00328	0	0	0	0.62356	0	0	4.18863	0.00124	0.0633	0	0	0.5471	0.01577	0	0	0	0	2.62717	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	2157|28890|183925|2158|2159|2172	0	0	0	0.48224	0	0	0	0	0	0	0	0.05408	0	0	0.01575	0	0	0	0	0	0.00072	0	0	0	0	0	0.02276	0	0.00303	0	0	0.0514	0	0.09684	0	0	0	0.00328	0	0	0	0.58119	0	0	0.39258	0.00124	0.0633	0	0	0.5471	0.01577	0	0	0	0	2.55803	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	2157|28890|183925|2158|2159|2172|2173	0	0	0	0.48224	0	0	0	0	0	0	0	0.05408	0	0	0.01575	0	0	0	0	0	0.00072	0	0	0	0	0	0.02276	0	0.00303	0	0	0.0514	0	0.09684	0	0	0	0.00328	0	0	0	0.58119	0	0	0.39258	0.00124	0.0633	0	0	0.5471	0.01577	0	0	0	0	2.55803	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera	2157|28890|183925|2158|2159|2316	0	0	0	0.01614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04236	0	0	3.79604	0	0	0	0	0	0	0	0	0	0	0.06914	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanosphaera|s__Methanosphaera_stadtmanae	2157|28890|183925|2158|2159|2316|2317	0	0	0	0.01614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04236	0	0	3.79604	0	0	0	0	0	0	0	0	0	0	0.06914	0
k__Bacteria	2	99.95109	100.0	100.0	99.50163	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.94592	99.99507	100.0	99.98425	100.0	99.94127	100.0	100.0	100.0	99.99928	100.0	100.0	100.0	99.99966	100.0	99.97724	100.0	99.99697	99.65155	99.99529	99.9486	99.70593	99.89153	100.0	97.93918	100.0	99.99672	99.95833	100.0	99.99017	99.37644	100.0	99.99877	95.42056	99.99876	99.36454	100.0	100.0	99.4529	99.98336	99.99664	100.0	100.0	100.0	97.37283	100.0
